CHEMBL_ID,DRUG_NAME,canonical_smiles,molecular_weight,alogp,hbd,hba,psa,num_rings,MURCKO_SCAFFOLD,IN_DRUGCOMB,IN_GDSC,IN_BOTH
CHEMBL269732,TACROLIMUS ANHYDROUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,804.03,4.64,3.0,12.0,178.36,7.0,O=C1CC=CCCCC[C@@H]2CCCC(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](/C=C/C2CCCCC2)CCC1,False,False,False
CHEMBL415,CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86,4.53,0.0,2.0,6.48,4.0,c1ccc2c(c1)CCc1ccccc1N2,True,False,False
CHEMBL416,METHOXSALEN,COc1c2occc2cc2ccc(=O)oc12,216.19,2.55,0.0,4.0,52.58,1.0,O=c1ccc2cc3ccoc3cc2o1,True,False,False
CHEMBL17,DICHLORPHENAMIDE,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,305.16,0.29,2.0,4.0,120.32,2.0,c1ccccc1,True,False,False
CHEMBL18,ETHOXZOLAMIDE,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.32,1.34,1.0,5.0,82.28,3.0,c1ccc2scnc2c1,False,False,False
CHEMBL417,EPIRUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,543.53,0.0,6.0,12.0,206.07,5.0,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCCO1,False,True,False
CHEMBL19,METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,236.28,-1.42,1.0,6.0,107.41,1.0,N=c1[nH]ncs1,True,False,False
CHEMBL20,ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.25,-0.86,2.0,6.0,115.04,2.0,c1nncs1,True,False,False
CHEMBL419,MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1,186.24,-0.21,2.0,3.0,86.18,2.0,c1ccccc1,False,False,False
CHEMBL21,SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1,172.21,-0.08,2.0,3.0,86.18,1.0,c1ccccc1,True,False,False
CHEMBL420,GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl,231.09,1.81,3.0,2.0,74.26,2.0,c1ccccc1,False,False,False
CHEMBL22,TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,290.32,1.26,2.0,7.0,105.51,5.0,c1ccc(Cc2cncnc2)cc1,True,False,False
CHEMBL6966,VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,454.61,5.09,0.0,6.0,63.95,13.0,c1ccc(CCCCNCCc2ccccc2)cc1,True,False,False
CHEMBL421,SULFASALAZINE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,398.4,3.7,3.0,7.0,141.31,6.0,O=S(=O)(Nc1ccccn1)c1ccc(/N=N/c2ccccc2)cc1,True,False,False
CHEMBL6466,COUMARIN,O=c1ccc2ccccc2o1,146.14,1.79,0.0,2.0,30.21,0.0,O=c1ccc2ccccc2o1,False,False,False
CHEMBL23,DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,414.53,3.37,0.0,6.0,59.08,6.0,O=C1C[C@H](c2ccccc2)Sc2ccccc2N1,True,False,False
CHEMBL24,ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34,0.45,3.0,4.0,84.58,8.0,c1ccccc1,True,False,False
CHEMBL25,ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,180.16,1.31,1.0,3.0,63.6,2.0,c1ccccc1,True,False,False
CHEMBL422,TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,407.51,4.95,0.0,4.0,9.72,4.0,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,True,False,False
CHEMBL423,BETAXOLOL,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,307.43,2.39,2.0,4.0,50.72,11.0,c1ccc(CCOCC2CC2)cc1,True,False,False
CHEMBL425,OLSALAZINE,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,302.24,2.91,4.0,6.0,139.78,4.0,c1ccc(/N=N/c2ccccc2)cc1,False,False,False
CHEMBL27,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12,259.35,2.58,2.0,3.0,41.49,6.0,c1ccc2ccccc2c1,False,False,False
CHEMBL6995,PRACTOLOL,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,266.34,1.38,3.0,4.0,70.59,7.0,c1ccccc1,False,False,False
CHEMBL427,MECHLORETHAMINE,CN(CCCl)CCCl,156.06,1.4,0.0,1.0,3.24,4.0,,True,False,False
CHEMBL29,PENICILLIN G,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,334.4,0.86,2.0,4.0,86.71,4.0,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,False,False,False
CHEMBL428,TROVAFLOXACIN,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,416.36,1.89,2.0,6.0,101.45,3.0,O=c1ccn(-c2ccccc2)c2nc(N3C[C@H]4C[C@H]4C3)ccc12,False,False,False
CHEMBL30,CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,252.35,0.6,3.0,4.0,88.89,5.0,c1c[nH]cn1,True,False,False
CHEMBL31,GATIFLOXACIN,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,375.4,1.98,2.0,6.0,83.8,4.0,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,True,False,False
CHEMBL429,LABETALOL,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,328.41,2.14,4.0,4.0,95.58,8.0,c1ccc(CCCNCCc2ccccc2)cc1,False,False,False
CHEMBL32,MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,401.44,2.37,2.0,6.0,83.8,4.0,O=c1ccn(C2CC2)c2cc(N3C[C@@H]4CCCN[C@@H]4C3)ccc12,False,False,False
CHEMBL33,LEVOFLOXACIN ANHYDROUS,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37,1.54,1.0,6.0,75.01,2.0,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,False,False,False
CHEMBL430,GEMIFLOXACIN,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,389.39,0.97,2.0,8.0,123.04,5.0,N=C1CCN(c2ccc3c(=O)ccn(C4CC4)c3n2)C1,False,False,False
CHEMBL431,SPIRAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,466.63,2.39,2.0,7.0,95.94,9.0,O=C(CNCCCc1ccccc1)N1CCC2(C1)SCCS2,False,False,False
CHEMBL433,VALPROATE SODIUM,CCCC(CCC)C(=O)[O-].[Na+],166.2,2.29,1.0,1.0,37.3,5.0,,False,False,False
CHEMBL434,ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1,211.26,1.13,4.0,4.0,72.72,4.0,c1ccccc1,True,False,False
CHEMBL435,HYDROCHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,297.75,-0.35,3.0,5.0,118.36,1.0,O=S1(=O)NCNc2ccccc21,True,False,False
CHEMBL35,FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,330.75,1.89,3.0,5.0,122.63,5.0,c1ccc(NCc2ccco2)cc1,True,False,False
CHEMBL36,PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,248.72,2.52,2.0,4.0,77.82,2.0,c1ccc(-c2cncnc2)cc1,True,False,False
CHEMBL436,TOLRESTAT,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,357.35,3.56,1.0,3.0,49.77,4.0,c1ccc2ccccc2c1,True,False,False
CHEMBL437,SULFATHIAZOLE,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,255.32,1.53,2.0,5.0,85.08,3.0,O=S(=O)(Nc1nccs1)c1ccccc1,True,False,False
CHEMBL438,SULFAMERAZINE,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,264.31,1.17,2.0,5.0,97.97,3.0,O=S(=O)(Nc1ncccn1)c1ccccc1,False,False,False
CHEMBL439,SULFADIAZINE,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,250.28,0.86,2.0,5.0,97.97,3.0,O=S(=O)(Nc1ncccn1)c1ccccc1,True,False,False
CHEMBL440,THIAMYLAL,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,254.35,1.52,2.0,3.0,58.2,5.0,O=C1CC(=O)NC(=S)N1,False,False,False
CHEMBL441,THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,242.34,1.35,2.0,3.0,58.2,4.0,O=C1CC(=O)NC(=S)N1,False,False,False
CHEMBL268164,CYCLOBARBITAL,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,236.27,1.25,2.0,3.0,75.27,2.0,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1,False,False,False
CHEMBL442,ERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,581.67,1.99,3.0,6.0,118.21,4.0,O=C(NC1OC2[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2NC1,False,False,False
CHEMBL38,TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,300.44,5.6,1.0,1.0,37.3,5.0,C1=CCCCC1,True,True,True
CHEMBL7413,METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,262.31,1.31,1.0,3.0,66.48,3.0,O=C1CC(=O)NC(=O)N1,False,False,False
CHEMBL40,PHENOBARBITAL,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,232.24,0.7,2.0,3.0,75.27,2.0,O=C1NC(=O)C(c2ccccc2)C(=O)N1,False,False,False
CHEMBL41,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33,4.44,1.0,2.0,21.26,6.0,c1ccc(COc2ccccc2)cc1,False,False,False
CHEMBL443,SULFAMETHOXAZOLE,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,253.28,1.37,2.0,5.0,98.22,3.0,O=S(=O)(Nc1ccon1)c1ccccc1,True,False,False
CHEMBL42,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83,3.72,1.0,4.0,30.87,0.0,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,True,False,False
CHEMBL445,NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21,263.38,3.83,1.0,1.0,12.03,3.0,C=C1c2ccccc2CCc2ccccc21,False,False,False
CHEMBL446,SULFAMETHAZINE,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,278.34,1.48,2.0,5.0,97.97,3.0,O=S(=O)(Nc1ncccn1)c1ccccc1,True,False,False
CHEMBL447,SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,238.29,1.35,2.0,3.0,75.27,5.0,O=C1CC(=O)NC(=O)N1,False,False,False
CHEMBL448,PENTOBARBITAL,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,226.28,1.18,2.0,3.0,75.27,4.0,O=C1CC(=O)NC(=O)N1,False,False,False
CHEMBL7568,QUINACRINE,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,399.97,5.97,1.0,4.0,37.39,9.0,c1ccc2nc3ccccc3cc2c1,True,False,False
CHEMBL267894,AMOBARBITAL,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.28,1.18,2.0,3.0,75.27,4.0,O=C1CC(=O)NC(=O)N1,False,False,False
CHEMBL7728,HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,236.27,1.2,1.0,3.0,66.48,1.0,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1,False,False,False
CHEMBL449,BUTABARBITAL,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,212.25,0.79,2.0,3.0,75.27,3.0,O=C1CC(=O)NC(=O)N1,False,False,False
CHEMBL7863,APROBARBITAL,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,210.23,0.57,2.0,3.0,75.27,3.0,O=C1CC(=O)NC(=O)N1,False,False,False
CHEMBL450,METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O,198.22,0.5,1.0,3.0,66.48,2.0,O=C1CC(=O)NC(=O)N1,False,False,False
CHEMBL451,CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,299.76,2.95,1.0,3.0,50.46,1.0,C1=Nc2ccccc2C(c2ccccc2)=[NH+]C1,False,False,False
CHEMBL266349,MELAGATRAN,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,429.52,0.81,5.0,5.0,148.61,9.0,O=C(NCc1ccccc1)[C@@H]1CCN1C(=O)CC1CCCCC1,False,False,False
CHEMBL452,CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,315.72,3.04,1.0,4.0,84.6,2.0,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,False,False
CHEMBL453,SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,267.31,1.67,2.0,5.0,98.22,3.0,O=S(=O)(Nc1ccno1)c1ccccc1,True,False,False
CHEMBL268869,SULFAMETHOXYPYRIDAZINE,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,280.31,0.87,2.0,6.0,107.2,4.0,O=S(=O)(Nc1cccnn1)c1ccccc1,True,False,False
CHEMBL454,BUTALBITAL,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,224.26,0.96,2.0,3.0,75.27,4.0,O=C1CC(=O)NC(=O)N1,False,False,False
CHEMBL455,SULFACETAMIDE,CC(=O)NS(=O)(=O)c1ccc(N)cc1,214.25,0.09,2.0,4.0,89.26,2.0,c1ccccc1,False,False,False
CHEMBL43,AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,393.47,4.51,2.0,5.0,80.32,5.0,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,True,False,False
CHEMBL456,ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,303.14,3.61,1.0,3.0,63.6,6.0,c1ccccc1,False,False,False
CHEMBL267744,TICRYNAFEN,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,331.18,3.75,1.0,4.0,63.6,5.0,O=C(c1ccccc1)c1cccs1,False,False,False
CHEMBL457,GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,250.34,3.57,1.0,2.0,46.53,6.0,c1ccccc1,True,False,False
CHEMBL45,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,232.28,1.86,2.0,2.0,54.12,4.0,c1ccc2[nH]ccc2c1,True,False,False
CHEMBL46,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,293.37,3.13,0.0,4.0,39.82,2.0,O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1,True,False,False
CHEMBL49,BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,385.51,2.09,0.0,6.0,69.64,6.0,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,True,False,False
CHEMBL459,METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,211.22,0.44,4.0,4.0,103.78,3.0,c1ccccc1,True,False,False
CHEMBL460,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,276.38,1.96,1.0,3.0,45.33,3.0,O=C1c2cc[nH]c2CCC1CN1CCOCC1,False,False,False
CHEMBL53,APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,267.33,2.85,2.0,3.0,43.7,0.0,c1ccc2c(c1)C[C@H]1NCCc3cccc-2c31,False,False,False
CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87,4.43,1.0,3.0,40.54,6.0,O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,True,False,False
CHEMBL55,PENTAMIDINE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,340.43,2.88,4.0,4.0,118.2,10.0,c1ccc(OCCCCCOc2ccccc2)cc1,True,False,False
CHEMBL463,AMINOHIPPURIC ACID,Nc1ccc(C(=O)NCC(=O)O)cc1,194.19,0.08,3.0,3.0,92.42,3.0,c1ccccc1,False,False,False
CHEMBL464,ETRETINATE,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,354.49,5.65,0.0,3.0,35.53,7.0,c1ccccc1,False,False,False
CHEMBL57,NEVIRAPINE,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.3,2.65,1.0,4.0,58.12,1.0,O=C1Nc2cccnc2N(C2CC2)c2ncccc21,True,False,False
CHEMBL465,DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,314.47,5.74,1.0,2.0,29.46,4.0,C1=C[C@H]2c3ccccc3OC[C@@H]2CC1,False,False,False
CHEMBL58,MITOXANTRONE,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,444.49,-0.14,8.0,10.0,163.18,12.0,O=C1c2ccccc2C(=O)c2ccccc21,True,True,True
CHEMBL59,DOPAMINE,NCCc1ccc(O)c(O)c1,153.18,0.6,3.0,3.0,66.48,2.0,c1ccccc1,True,False,False
CHEMBL467,HYDROXYUREA,NC(=O)NO,76.05,-0.96,3.0,2.0,75.35,0.0,,True,False,False
CHEMBL61,PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,414.41,2.41,1.0,8.0,92.68,4.0,O=C1OC[C@@H]2Cc3cc4c(cc3[C@@H](c3ccccc3)[C@@H]12)OCO4,True,False,False
CHEMBL64,ISONIAZID,NNC(=O)c1ccncc1,137.14,-0.31,2.0,3.0,68.01,1.0,c1ccncc1,True,False,False
CHEMBL468,THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,258.23,0.09,1.0,4.0,83.55,1.0,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,True,False,False
CHEMBL469,KETOROLAC,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,255.27,2.29,1.0,3.0,59.3,3.0,O=C(c1ccccc1)c1ccc2n1CCC2,True,False,False
CHEMBL471,SOTALOL,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,272.37,1.09,3.0,4.0,78.43,6.0,c1ccccc1,True,False,False
CHEMBL472,GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,494.01,3.64,3.0,5.0,113.6,8.0,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)c2ccccc2)cc1,False,False,False
CHEMBL9225,HEXESTROL,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,270.37,4.79,2.0,2.0,40.46,5.0,c1ccc(CCc2ccccc2)cc1,True,False,False
CHEMBL473,DOFETILIDE,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,441.58,1.98,2.0,6.0,104.81,11.0,c1ccc(CCNCCOc2ccccc2)cc1,True,False,False
CHEMBL476,DACARBAZINE,CN(C)/N=N/c1[nH]cnc1C(N)=O,182.19,0.07,2.0,4.0,99.73,3.0,c1c[nH]cn1,True,True,True
CHEMBL477,ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,267.25,-1.98,4.0,9.0,139.54,2.0,c1ncc2ncn([C@H]3CCCO3)c2n1,True,False,False
