DRUG_NAME,MURCKO_SCAFFOLD,IN_DRUGCOMB,IN_GDSC,IN_BOTH
ACETAMINOPHEN,c1ccccc1,True,False,False
CAFFEINE,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,True,False,False
PHENACETIN,c1ccccc1,False,False,False
PERPHENAZINE,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,False,False,False
OXAZEPAM,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,False,False
SULINDAC,C1=Cc2ccccc2/C1=C\c1ccccc1,True,False,False
FENCLOFENAC,c1ccc(Oc2ccccc2)cc1,False,False,False
INDALPINE,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,False,False,False
PROCAINE,c1ccccc1,False,False,False
TRIFLUPROMAZINE,c1ccc2c(c1)Nc1ccccc1S2,True,False,False
KETOPROFEN,O=C(c1ccccc1)c1ccccc1,True,False,False
NITROFURANTOIN,O=C1CN(/N=C/c2ccco2)C(=O)N1,False,False,False
INDOPROFEN,O=C1c2ccccc2CN1c1ccccc1,False,False,False
LINDANE,C1CCCCC1,False,False,False
NIACIN,c1ccncc1,True,False,False
METHICILLIN,O=C(N[C@@H]1C(=O)N2CCS[C@H]12)c1ccccc1,False,False,False
TRICHLOROETHANE,,False,False,False
ENALAPRILAT ANHYDROUS,O=C(CNCCCc1ccccc1)N1CCCC1,False,False,False
ENALAPRIL,O=C(CNCCCc1ccccc1)N1CCCC1,False,False,False
LORAZEPAM,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,False,False
ISOPROPYL ALCOHOL,,False,False,False
GREPAFLOXACIN,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,False,False,False
SAQUINAVIR,O=C(CNC(=O)c1ccc2ccccc2n1)N[C@H](CCN1CC[C@@H]2CCCC[C@@H]2C1)Cc1ccccc1,False,False,False
INDINAVIR ANHYDROUS,O=C(N[C@@H]1CCc2ccccc21)[C@@H](CCCN1CCN(Cc2cccnc2)CC1)Cc1ccccc1,False,False,False
NELFINAVIR,O=C(N[C@H](CCN1CC[C@@H]2CCCC[C@@H]2C1)CSc1ccccc1)c1ccccc1,True,False,False
AMPRENAVIR,O=C(N[C@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C@H]1CCOC1,True,False,False
TRIAMTERENE,c1ccc(-c2cnc3ncncc3n2)cc1,True,False,False
PRONETALOL,c1ccc2ccccc2c1,False,False,False
CELECOXIB,c1ccc(-c2ccnn2-c2ccccc2)cc1,True,False,False
TRIMETREXATE,c1ccc(NCc2ccc3ncncc3c2)cc1,True,False,False
FENOLDOPAM,c1ccc(C2CNCCc3ccccc32)cc1,True,False,False
ROPINIROLE,O=C1Cc2ccccc2N1,False,False,False
MENADIONE,O=C1C=CC(=O)c2ccccc21,True,False,False
ETHCHLORVYNOL,,False,False,False
TERFENADINE,c1ccc(CCCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)cc1,False,False,False
LEVORPHANOL,c1ccc2c(c1)C[C@H]1NCC[C@@]23CCCC[C@@H]13,False,False,False
DELAVIRDINE,O=C(c1cc2ccccc2[nH]1)N1CCN(c2ccccn2)CC1,False,False,False
EMEDASTINE,c1ccc2[nH]c(N3CCCNCC3)nc2c1,False,False,False
PIOGLITAZONE,O=C1NC(=O)C(Cc2ccc(OCCc3ccccn3)cc2)S1,True,False,False
FENTANYL,c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,False,False,False
ROSIGLITAZONE,O=C1NC(=O)C(Cc2ccc(OCCNc3ccccn3)cc2)S1,True,False,False
MARALIXIBAT CHLORIDE,O=S1(=O)CCC[C@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)c2ccccc21,False,False,False
LOFEXIDINE,c1ccc(OCC2=NCCN2)cc1,False,False,False
PHENTOLAMINE,c1ccc(N(CC2=NCCN2)c2ccccc2)cc1,True,False,False
PLERIXAFOR,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,True,False,False
TOLOXATONE,O=C1OCCN1c1ccccc1,False,False,False
MELOXICAM,O=C(Nc1nccs1)C1=Cc2ccccc2S(=O)(=O)N1,True,False,False
ACETYLCYSTEINE,,True,False,False
AMINOLEVULINIC ACID,,False,False,False
CYSTEAMINE,,False,False,False
NALTREXONE,O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,True,False,False
ZAFIRLUKAST,O=C(Nc1ccc2[nH]cc(Cc3ccc(C(=O)NS(=O)(=O)c4ccccc4)cc3)c2c1)OC1CCCC1,True,False,False
"CEFPROZIL ANHYDROUS, (E)-",O=C(Cc1ccccc1)N[C@@H]1C(=O)N2C=CCS[C@H]12,False,False,False
ROFECOXIB,O=C1OCC(c2ccccc2)=C1c1ccccc1,True,False,False
MOXONIDINE,c1ncc(NC2=NCCN2)cn1,True,False,False
PROCAINAMIDE HYDROCHLORIDE,c1ccccc1,False,False,False
MISOPROSTOL,O=C1CCCC1,False,False,False
MACIMORELIN,O=C(CCc1c[nH]c2ccccc12)NCCc1c[nH]c2ccccc12,False,False,False
MEPERIDINE,c1ccc(C2CCNCC2)cc1,False,False,False
METHAQUALONE,O=c1c2ccccc2ncn1-c1ccccc1,False,False,False
PROBUCOL,c1ccc(SCSc2ccccc2)cc1,True,False,False
LOXOPROFEN,O=C1CCCC1Cc1ccccc1,False,False,False
TRIENTINE,,False,False,False
ZOMEPIRAC,O=C(c1ccccc1)c1ccc[nH]1,False,False,False
TERAZOSIN,O=C(C1CCCO1)N1CCN(c2ncc3ccccc3n2)CC1,True,False,False
LEVAMFETAMINE,c1ccccc1,False,False,False
DEXTROAMPHETAMINE,c1ccccc1,False,False,False
SITAXENTAN,O=C(Cc1ccc2c(c1)OCO2)c1sccc1S(=O)(=O)Nc1ccno1,True,False,False
PYRAZINAMIDE,c1cnccn1,True,False,False
IBUDILAST,c1ccn2nccc2c1,False,False,False
SAQUINAVIR MESYLATE,O=C(CNC(=O)c1ccc2ccccc2n1)N[C@H](CCN1CC[C@@H]2CCCC[C@@H]2C1)Cc1ccccc1,True,False,False
PENICILLIN V,O=C(COc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,False,False,False
CEPHALOTHIN,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C=CCS[C@H]12,False,False,False
MILTEFOSINE,,False,False,False
LINEZOLID,O=C1OCCN1c1ccc(N2CCOCC2)cc1,True,False,False
CLIDINIUM,O=C(OC1C[NH+]2CCC1CC2)C(c1ccccc1)c1ccccc1,False,False,False
MEROPENEM,O=C1C[C@H]2CC(S[C@H]3CCNC3)=CN12,True,False,False
TRAZODONE,O=c1n(CCCN2CCN(c3ccccc3)CC2)nc2ccccn12,True,False,False
ETODOLAC,c1ccc2c3c([nH]c2c1)COCC3,True,False,False
PRANLUKAST,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,True,False,False
NEFAZODONE,O=c1n(CCOc2ccccc2)cnn1CCCN1CCN(c2ccccc2)CC1,False,False,False
THIABENDAZOLE,c1ccc2[nH]c(-c3cscn3)nc2c1,True,False,False
XANOMELINE,C1=C(c2cnsn2)CNCC1,False,False,False
NAFTIFINE,C(=C/c1ccccc1)\CNCc1cccc2ccccc12,False,False,False
PENTOXIFYLLINE,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,False,False,False
AMITRIPTYLINE,C=C1c2ccccc2CCc2ccccc21,False,False,False
DIBROMSALAN,O=C(Nc1ccccc1)c1ccccc1,False,False,False
TRIBROMSALAN,O=C(Nc1ccccc1)c1ccccc1,False,False,False
SUMATRIPTAN,c1ccc2[nH]ccc2c1,True,False,False
PROPAFENONE,O=C(CCc1ccccc1)c1ccccc1,True,False,False
BETAMETHASONE,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,True,False,False
AMIODARONE,O=C(c1ccccc1)c1coc2ccccc12,True,False,False
ALFENTANIL,O=c1[nH]nnn1CCN1CCC(Nc2ccccc2)CC1,False,False,False
