molecule_chembl_id,pref_name,canonical_smiles,molecular_weight,alogp,hbd,hba,psa,num_rings,synonyms
CHEMBL1256137,CYSTEAMINE HYDROCHLORIDE,Cl.NCCS,113.61,-0.13,2.0,2.0,26.02,1.0,CI-9148|Cystadrops|Cystaran|Cysteamine hcl|Cysteamine hydrochloride|Cysteamine hydrochloride|Cysteamine hydrochloride|Cysteamine hydrochloride|Mercaptamine hydrochloride|NSC-21116|NSC-25116|NSC-758692
CHEMBL1256391,PIRFENIDONE,Cc1ccc(=O)n(-c2ccccc2)c1,185.23,2.15,0.0,2.0,22.00,1.0,AMR-69|Esbriet|NSC-748456|Pirespa|Pirfenidona|Pirfenidone|Pirfenidone|Pirfenidone|Pirfenidone|Pirfenidone|Pirfenidone|Pirfenidone|Pirfenidone|Pirfenidone|Pirfenidone axunio (previously pirfenidone aet)|Pirfenidone component of esbriet|Pirfenidone viatris
CHEMBL1256696,CARBETAPENTANE CITRATE,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,525.60,3.40,0.0,4.0,38.77,10.0,Carbetapentane citrate|Loucarbate|NSC-757833|Pentoxyverine citrate|Pentoxyverine hydrogen citrate|Toclase
CHEMBL1256786,FORMOTEROL,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,344.41,2.22,4.0,5.0,90.82,9.0,Formoterol|Formoterol|Formoterol|Formoterol|Formoterol|Oxis
CHEMBL1256818,DEXTROMETHORPHAN HYDROBROMIDE,Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,370.33,3.38,0.0,2.0,12.47,1.0,Beecham coughcaps|Brontyl|Contac coughcaps|Delsym|Dextromethorphan hydrobromide|Dextromethorphan hydrobromide|Dextromethorphan hydrobromide|Dextromethorphan hydrobromide component of auvelity|Dextromethorphan hydrobromide component of avp-923|Dextromethorphan hydrobromide component of bromanate dm|Dextromethorphan hydrobromide component of bromfed-dm|Dextromethorphan hydrobromide component of dimetane-dx|Dextromethorphan hydrobromide component of mucinex dm|Dextromethorphan hydrobromide component of nuedexta|Dextromethorphan hydrobromide component of pherazine dm|Dextromethorphan hydrobromide component of promethazine dm|Franolyn dry|Franolyn sed|NSC-756723|Nuedexta|St. joseph cough syrup|Tussabron|Tuxium
CHEMBL1256841,NIALAMIDE,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,298.35,1.02,3.0,4.0,83.12,7.0,Nialamida|Nialamide|Nialamide|Niamid|NSC-124514
CHEMBL1256842,NOMIFENSINE MALEATE,CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O,354.41,2.85,1.0,2.0,29.26,1.0,Alival (antidepressant)|HOE 984|HOE-984|Hostalival|Merital|Nomifensine hydrogen maleate|Nomifensine maleate|Nomifensine maleate|NSC-289114|Psicronizer
CHEMBL1256958,EPINEPHRINE BITARTRATE,CNC[C@H](O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O,333.29,0.35,4.0,4.0,72.72,3.0,Adrenaline acid tartrate|Adrenaline (as tartrate)|Adrenaline bitartate|Adrenalin tartrate|Bronitin|Bronitin mist|(-)-epinephrine bitartrate|Epinephrine bitartrate|Epinephrine bitartrate component of duranest|Epinephrine bitartrate component of lignospan forte|Epinephrine bitartrate component of orabloc|Epinephrine bitartrate component of sensorcaine|Epinephrine bitartrate component of septocaine|Epinephrine d-bitartrate|Epinephrine hydrogen tartrate|Epinephrine tartrate|Epinephrini hydrogenotartras|L-epinephrine hydrogen tartrate|Medihaler-epi|NSC-756755
CHEMBL1257040,TRIFLUOPERAZINE HYDROCHLORIDE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,480.43,4.95,0.0,4.0,9.72,4.0,NSC-757369|Stelazine|Trifluoperazine dihydrochloride|Trifluoperazine dihydrochloride|Trifluoperazine hcl|Trifluoperazine hydrochloride|Trifluoperazine hydrochloride
CHEMBL1257073,TECOVIRIMAT,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,376.33,2.40,1.0,3.0,66.48,2.0,SIGA-246|ST 246|ST-246|Tecovirimat|Tecovirimat|Tecovirimat|Tecovirimat|Tecovirimat|Tecovirimat|Tpoxx
