FEATURE_NAME,MEAN_ABS_SHAP,FEATURE_GROUP
D1_FP_926,0.0038313332,FP
D2_FP_119,0.0037639623,FP
D2_FP_825,0.0037518388,FP
D2_FP_718,0.003745958,FP
MUT_cnaPANCAN94,0.0037174067,MUTATION
D2_FP_102,0.0037081947,FP
D1_FP_309,0.003695399,FP
D1_FP_305,0.00369068,FP
D1_FP_378,0.003673551,FP
D1_FP_722,0.003662992,FP
D1_FP_121,0.0036316565,FP
D1_FP_340,0.0036214828,FP
D1_FP_606,0.0036013138,FP
MUT_cnaPANCAN35,0.0035794026,MUTATION
D2_FP_606,0.0035747264,FP
D2_FP_120,0.003569485,FP
D1_FP_226,0.0035502706,FP
TISSUE_lymphoma,0.003542729,TISSUE
D2_FP_86,0.0035234953,FP
D1_FP_673,0.0035220764,FP
MUT_cnaPANCAN243,0.0035042267,MUTATION
MUT_cnaPANCAN336,0.0034712926,MUTATION
D1_FP_74,0.0034642536,FP
D1_FP_619,0.0034642313,FP
D1_FP_698,0.0034474744,FP
D2_FP_722,0.0034429731,FP
D1_FP_554,0.0034429037,FP
D2_FP_624,0.0034362562,FP
D1_FP_96,0.0034311395,FP
D1_FP_389,0.0034115582,FP
MUT_cnaPANCAN164,0.0033776,MUTATION
D1_FP_294,0.0033678517,FP
D1_FP_284,0.003365058,FP
D1_FP_54,0.0033373688,FP
D1_FP_386,0.0033281161,FP
D2_FP_309,0.003321491,FP
D2_FP_790,0.0033098941,FP
D2_FP_15,0.0033044482,FP
MUT_cnaPANCAN44,0.0032990205,MUTATION
D1_FP_573,0.0032860192,FP
MUT_cnaPANCAN335,0.003281929,MUTATION
D1_FP_1,0.0032761362,FP
GROWTH_Suspension,0.0032664528,CELL
D2_FP_74,0.003252932,FP
D1_FP_441,0.0032517714,FP
D1_FP_241,0.0032505856,FP
MUT_cnaPANCAN86,0.0032188802,MUTATION
D2_FP_882,0.0032080424,FP
D2_FP_974,0.0031816666,FP
D2_FP_1019,0.0031261223,FP
D1_FP_98,0.0031052523,FP
D2_FP_16,0.003102444,FP
D1_FP_464,0.003098057,FP
D1_FP_766,0.0030857816,FP
D1_FP_511,0.003082878,FP
MUT_APC_mut,0.0030429983,MUTATION
MUT_cnaPANCAN23,0.0030362653,MUTATION
D1_FP_456,0.0030205857,FP
D2_FP_479,0.003018074,FP
D2_FP_435,0.0029984098,FP
D1_FP_980,0.0029825089,FP
D2_FP_73,0.002980597,FP
D1_FP_804,0.0029796124,FP
D1_FP_219,0.0029683246,FP
D2_FP_318,0.0029649383,FP
