Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,FDR_BH,SIGNIFICANT
Reactome_2022,Metabolism Of Lipids R-HSA-556833,3/732,0.004831687653998,0.0197744634874156,0,0,11.3233392122281,60.382379652866575,PIK3CA;PTEN;EP300,0.019774463487415357,True
Reactome_2022,PI3K Events In ERBB4 Signaling R-HSA-1250342,1/10,0.0049898178893478,0.0197744634874156,0,0,246.679012345679,1307.4865498601448,PIK3CA,0.019774463487415357,True
Reactome_2022,RUNX3 Regulates p14-ARF R-HSA-8951936,1/10,0.0049898178893478,0.0197744634874156,0,0,246.679012345679,1307.4865498601448,EP300,0.019774463487415357,True
Reactome_2022,Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629,1/10,0.0049898178893478,0.0197744634874156,0,0,246.679012345679,1307.4865498601448,EP300,0.019774463487415357,True
Reactome_2022,STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898,1/10,0.0049898178893478,0.0197744634874156,0,0,246.679012345679,1307.4865498601448,EP300,0.019774463487415357,True
Reactome_2022,Signaling By FGFR4 In Disease R-HSA-5655291,1/10,0.0049898178893478,0.0197744634874156,0,0,246.679012345679,1307.4865498601448,PIK3CA,0.019774463487415357,True
Reactome_2022,Regulation Of PTEN mRNA Translation R-HSA-8943723,1/11,0.0054875676690229,0.020723637903016,0,0,222.0,1155.5699775561973,PTEN,0.020723637903015894,True
Reactome_2022,Regulation Of Gene Expression By Hypoxia-inducible Factor R-HSA-1234158,1/11,0.0054875676690229,0.020723637903016,0,0,222.0,1155.5699775561973,EP300,0.020723637903015894,True
Reactome_2022,Regulation Of Signaling By NODAL R-HSA-1433617,1/11,0.0054875676690229,0.020723637903016,0,0,222.0,1155.5699775561973,ACVR2A,0.020723637903015894,True
Reactome_2022,Signaling By PDGFRA Extracellular Domain Mutants R-HSA-9673770,1/11,0.0054875676690229,0.020723637903016,0,0,222.0,1155.5699775561973,PIK3CA,0.020723637903015894,True
Reactome_2022,Frs2-mediated Activation R-HSA-170968,1/12,0.0059850935124877,0.0211122529396546,0,0,201.8080808080808,1032.9512945731403,BRAF,0.02111225293965442,True
Reactome_2022,Activation Of TFAP2 (AP-2) Family Of Transcription Factors R-HSA-8866907,1/12,0.0059850935124877,0.0211122529396546,0,0,201.8080808080808,1032.9512945731403,EP300,0.02111225293965442,True
Reactome_2022,TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207,1/12,0.0059850935124877,0.0211122529396546,0,0,201.8080808080808,1032.9512945731403,TP53,0.02111225293965442,True
Reactome_2022,TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211,1/12,0.0059850935124877,0.0211122529396546,0,0,201.8080808080808,1032.9512945731403,TP53,0.02111225293965442,True
Reactome_2022,NOTCH2 Intracellular Domain Regulates Transcription R-HSA-2197563,1/12,0.0059850935124877,0.0211122529396546,0,0,201.8080808080808,1032.9512945731403,EP300,0.02111225293965442,True
Reactome_2022,Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276,1/12,0.0059850935124877,0.0211122529396546,0,0,201.8080808080808,1032.9512945731403,PIK3CA,0.02111225293965442,True
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116,1/14,0.0069794736802133,0.0228613372586579,0,0,170.74358974358975,847.7046615380154,TP53,0.02286133725865785,True
Reactome_2022,TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205,1/14,0.0069794736802133,0.0228613372586579,0,0,170.74358974358975,847.7046615380154,TP53,0.02286133725865785,True
Reactome_2022,Prolonged ERK Activation Events R-HSA-169893,1/14,0.0069794736802133,0.0228613372586579,0,0,170.74358974358975,847.7046615380154,BRAF,0.02286133725865785,True
Reactome_2022,RUNX3 Regulates NOTCH Signaling R-HSA-8941856,1/14,0.0069794736802133,0.0228613372586579,0,0,170.74358974358975,847.7046615380154,EP300,0.02286133725865785,True
Reactome_2022,Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759,1/14,0.0069794736802133,0.0228613372586579,0,0,170.74358974358975,847.7046615380154,TP53,0.02286133725865785,True
Reactome_2022,Constitutive Signaling By EGFRvIII R-HSA-5637810,1/14,0.0069794736802133,0.0228613372586579,0,0,170.74358974358975,847.7046615380154,PIK3CA,0.02286133725865785,True
Reactome_2022,Role Of LAT2/NTAL/LAB On Calcium Mobilization R-HSA-2730905,1/14,0.0069794736802133,0.0228613372586579,0,0,170.74358974358975,847.7046615380154,PIK3CA,0.02286133725865785,True
Reactome_2022,Signaling By Nuclear Receptors R-HSA-9006931,2/260,0.0070719806523663,0.022930361509188,0,0,19.12015503875969,94.6756405546456,PIK3CA;EP300,0.022930361509187702,True
Reactome_2022,TRAF3-dependent IRF Activation Pathway R-HSA-918233,1/15,0.0074763281564485,0.0233000129924271,0,0,158.53968253968253,776.212425317664,EP300,0.02330001299242688,True
Reactome_2022,Signaling By Activin R-HSA-1502540,1/15,0.0074763281564485,0.0233000129924271,0,0,158.53968253968253,776.212425317664,ACVR2A,0.02330001299242688,True
Reactome_2022,Signaling By ERBB2 ECD Mutants R-HSA-9665348,1/15,0.0074763281564485,0.0233000129924271,0,0,158.53968253968253,776.212425317664,PIK3CA,0.02330001299242688,True
Reactome_2022,Signaling By FLT3 ITD And TKD Mutants R-HSA-9703648,1/15,0.0074763281564485,0.0233000129924271,0,0,158.53968253968253,776.212425317664,PIK3CA,0.02330001299242688,True
Reactome_2022,FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657,1/16,0.0079729589968486,0.0234799985136551,0,0,147.96296296296296,714.9125872208035,EP300,0.023479998513655054,True
Reactome_2022,Spry Regulation Of FGF Signaling R-HSA-1295596,1/16,0.0079729589968486,0.0234799985136551,0,0,147.96296296296296,714.9125872208035,BRAF,0.023479998513655054,True
Reactome_2022,PI3K Events In ERBB2 Signaling R-HSA-1963642,1/16,0.0079729589968486,0.0234799985136551,0,0,147.96296296296296,714.9125872208035,PIK3CA,0.023479998513655054,True
Reactome_2022,Polo-like Kinase Mediated Events R-HSA-156711,1/16,0.0079729589968486,0.0234799985136551,0,0,147.96296296296296,714.9125872208035,EP300,0.023479998513655054,True
Reactome_2022,Regulation Of Gene Expression In Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells R-HSA-210744,1/16,0.0079729589968486,0.0234799985136551,0,0,147.96296296296296,714.9125872208035,EP300,0.023479998513655054,True
Reactome_2022,Signaling By NTRK3 (TRKC) R-HSA-9034015,1/16,0.0079729589968486,0.0234799985136551,0,0,147.96296296296296,714.9125872208035,PIK3CA,0.023479998513655054,True
Reactome_2022,Formation Of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584,1/17,0.0084693662805775,0.0239828464997041,0,0,138.70833333333334,661.8190142974174,TP53,0.023982846499704027,True
Reactome_2022,GAB1 Signalosome R-HSA-180292,1/17,0.0084693662805775,0.0239828464997041,0,0,138.70833333333334,661.8190142974174,PIK3CA,0.023982846499704027,True
Reactome_2022,Tie2 Signaling R-HSA-210993,1/17,0.0084693662805775,0.0239828464997041,0,0,138.70833333333334,661.8190142974174,PIK3CA,0.023982846499704027,True
Reactome_2022,Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117,1/17,0.0084693662805775,0.0239828464997041,0,0,138.70833333333334,661.8190142974174,PIK3CA,0.023982846499704027,True
Reactome_2022,Signaling By WNT R-HSA-195721,2/294,0.0089648094436999,0.0239828464997041,0,0,16.86472602739726,79.50788110402384,EP300;SMARCA4,0.023982846499704027,True
Reactome_2022,PI-3K cascade:FGFR3 R-HSA-5654710,1/18,0.0089655500933473,0.0239828464997041,0,0,130.54248366013073,615.425022203049,PIK3CA,0.023982846499704027,True
Reactome_2022,RORA Activates Gene Expression R-HSA-1368082,1/18,0.0089655500933473,0.0239828464997041,0,0,130.54248366013073,615.425022203049,EP300,0.023982846499704027,True
Reactome_2022,Regulation Of NF-kappa B Signaling R-HSA-9758274,1/18,0.0089655500933473,0.0239828464997041,0,0,130.54248366013073,615.425022203049,TP53,0.023982846499704027,True
Reactome_2022,Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants R-HSA-1236382,1/18,0.0089655500933473,0.0239828464997041,0,0,130.54248366013073,615.425022203049,PIK3CA,0.023982846499704027,True
Reactome_2022,Regulation Of Signaling By CBL R-HSA-912631,1/18,0.0089655500933473,0.0239828464997041,0,0,130.54248366013073,615.425022203049,PIK3CA,0.023982846499704027,True
Reactome_2022,Signaling By FLT3 Fusion Proteins R-HSA-9703465,1/18,0.0089655500933473,0.0239828464997041,0,0,130.54248366013073,615.425022203049,PIK3CA,0.023982846499704027,True
Reactome_2022,SUMOylation Of Transcription Factors R-HSA-3232118,1/19,0.0094615105123957,0.024692234751862,0,0,123.28395061728396,574.5677163606151,TP53,0.024692234751861948,True
Reactome_2022,Signaling By KIT In Disease R-HSA-9669938,1/19,0.0094615105123957,0.024692234751862,0,0,123.28395061728396,574.5677163606151,PIK3CA,0.024692234751861948,True
Reactome_2022,Signaling By PDGFR In Disease R-HSA-9671555,1/19,0.0094615105123957,0.024692234751862,0,0,123.28395061728396,574.5677163606151,PIK3CA,0.024692234751861948,True
Reactome_2022,DNA Repair R-HSA-73894,2/310,0.0099263857511192,0.024970910058031,0,0,15.97564935064935,73.68862263509924,EP300;TP53,0.02497091005803077,True
Reactome_2022,PI-3K cascade:FGFR4 R-HSA-5654720,1/20,0.0099572476243861,0.024970910058031,0,0,116.78947368421052,538.3357753631753,PIK3CA,0.02497091005803077,True
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204,1/20,0.0099572476243861,0.024970910058031,0,0,116.78947368421052,538.3357753631753,TP53,0.02497091005803077,True
Reactome_2022,CD209 (DC-SIGN) Signaling R-HSA-5621575,1/20,0.0099572476243861,0.024970910058031,0,0,116.78947368421052,538.3357753631753,EP300,0.02497091005803077,True
Reactome_2022,NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695,1/20,0.0099572476243861,0.024970910058031,0,0,116.78947368421052,538.3357753631753,EP300,0.02497091005803077,True
Reactome_2022,PI-3K cascade:FGFR1 R-HSA-5654689,1/21,0.0104527615118676,0.0256132553077062,0,0,110.94444444444444,506.0053047065427,PIK3CA,0.025613255307706105,True
Reactome_2022,TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115,1/21,0.0104527615118676,0.0256132553077062,0,0,110.94444444444444,506.0053047065427,TP53,0.025613255307706105,True
Reactome_2022,Signaling By FGFR3 In Disease R-HSA-5655332,1/21,0.0104527615118676,0.0256132553077062,0,0,110.94444444444444,506.0053047065427,PIK3CA,0.025613255307706105,True
Reactome_2022,Nephrin Family Interactions R-HSA-373753,1/22,0.0109480522580432,0.0264234945476082,0,0,105.65608465608466,476.9942956890701,PIK3CA,0.026423494547608024,True
Reactome_2022,Signaling By NODAL R-HSA-1181150,1/22,0.0109480522580432,0.0264234945476082,0,0,105.65608465608466,476.9942956890701,ACVR2A,0.026423494547608024,True
Reactome_2022,PI-3K cascade:FGFR2 R-HSA-5654695,1/23,0.0114431199495764,0.0270091287045149,0,0,100.84848484848484,450.8296990682604,PIK3CA,0.027009128704514884,True
