CHEMBL_ID,TARGET_CHEMBL_ID,MECHANISM
CHEMBL109,CHEMBL1911,INHIBITOR
CHEMBL1118,CHEMBL228,INHIBITOR
CHEMBL6067650,CHEMBL228,INHIBITOR
CHEMBL1200322,CHEMBL228,INHIBITOR
CHEMBL1200710,CHEMBL228,INHIBITOR
CHEMBL1200781,CHEMBL228,INHIBITOR
CHEMBL1409,CHEMBL228,INHIBITOR
CHEMBL1709,CHEMBL228,INHIBITOR
CHEMBL1200609,CHEMBL228,INHIBITOR
CHEMBL1201082,CHEMBL228,INHIBITOR
CHEMBL1200595,CHEMBL228,SUBSTRATE
CHEMBL1615374,CHEMBL228,INHIBITOR
CHEMBL1200798,CHEMBL228,INHIBITOR
CHEMBL1201066,CHEMBL228,INHIBITOR
CHEMBL1200964,CHEMBL228,INHIBITOR
CHEMBL1113,CHEMBL228,INHIBITOR
CHEMBL1201728,CHEMBL228,INHIBITOR
CHEMBL1200328,CHEMBL228,INHIBITOR
CHEMBL1692,CHEMBL228,INHIBITOR
CHEMBL3989845,CHEMBL228,INHIBITOR
CHEMBL4297064,CHEMBL228,INHIBITOR
CHEMBL1200492,CHEMBL228,INHIBITOR
CHEMBL1201156,CHEMBL228,INHIBITOR
CHEMBL1200332,CHEMBL228,INHIBITOR
CHEMBL1421,CHEMBL1913,INHIBITOR
CHEMBL1200485,CHEMBL1913,INHIBITOR
CHEMBL1642,CHEMBL1913,INHIBITOR
CHEMBL5314380,CHEMBL1917,AGONIST
CHEMBL1201528,CHEMBL1921,AGONIST
CHEMBL1715,CHEMBL235,AGONIST
CHEMBL843,CHEMBL235,AGONIST
CHEMBL408,CHEMBL235,AGONIST
CHEMBL1200760,CHEMBL235,AGONIST
CHEMBL704,CHEMBL235,AGONIST
CHEMBL1201013,CHEMBL235,AGONIST
CHEMBL1201488,CHEMBL1925,AGONIST
CHEMBL1201616,CHEMBL1925,AGONIST
CHEMBL6067494,CHEMBL1925,AGONIST
CHEMBL1201745,CHEMBL239,AGONIST
CHEMBL457,CHEMBL239,AGONIST
CHEMBL672,CHEMBL239,AGONIST
CHEMBL565,CHEMBL239,AGONIST
CHEMBL981,CHEMBL239,AGONIST
CHEMBL5483015,CHEMBL1927,INHIBITOR
CHEMBL1200477,CHEMBL1929,INHIBITOR
CHEMBL1164729,CHEMBL1929,INHIBITOR
CHEMBL1467,CHEMBL1929,INHIBITOR
CHEMBL1465,CHEMBL1930,INHIBITOR
CHEMBL711,CHEMBL1930,INHIBITOR
CHEMBL1466,CHEMBL1930,INHIBITOR
CHEMBL1200772,CHEMBL1930,INHIBITOR
CHEMBL1200879,CHEMBL1930,INHIBITOR
CHEMBL964,CHEMBL1935,INHIBITOR
CHEMBL1421,CHEMBL1936,INHIBITOR
CHEMBL1201733,CHEMBL1936,INHIBITOR
CHEMBL1946170,CHEMBL1936,INHIBITOR
CHEMBL1200485,CHEMBL1936,INHIBITOR
CHEMBL1567,CHEMBL1936,INHIBITOR
CHEMBL1642,CHEMBL1936,INHIBITOR
CHEMBL256907,CHEMBL274,ANTAGONIST
CHEMBL36,CHEMBL1939,INHIBITOR
CHEMBL1201059,CHEMBL1939,INHIBITOR
CHEMBL902,CHEMBL1941,ANTAGONIST
CHEMBL1201051,CHEMBL1941,ANTAGONIST
CHEMBL1200949,CHEMBL1941,AGONIST
CHEMBL3183075,CHEMBL1941,ANTAGONIST
CHEMBL2110372,CHEMBL1941,ANTAGONIST
CHEMBL30,CHEMBL1941,ANTAGONIST
CHEMBL2111286,CHEMBL1941,ANTAGONIST
CHEMBL1200988,CHEMBL1941,ANTAGONIST
CHEMBL1689,CHEMBL1941,AGONIST
CHEMBL227529,CHEMBL284,INHIBITOR
CHEMBL1201174,CHEMBL284,INHIBITOR
CHEMBL237500,CHEMBL284,INHIBITOR
CHEMBL1201743,CHEMBL284,INHIBITOR
CHEMBL1200399,CHEMBL214,PARTIAL AGONIST
CHEMBL2311030,CHEMBL214,AGONIST
CHEMBL1200938,CHEMBL214,PARTIAL AGONIST
CHEMBL1112,CHEMBL214,PARTIAL AGONIST
CHEMBL1615374,CHEMBL214,PARTIAL AGONIST
CHEMBL160,CHEMBL1949,MODULATOR
CHEMBL1201414,CHEMBL1950,ACTIVATOR
CHEMBL1201476,CHEMBL1950,ACTIVATOR
CHEMBL1201460,CHEMBL1950,ACTIVATOR
CHEMBL1201534,CHEMBL1950,ACTIVATOR
CHEMBL1201657,CHEMBL1950,ACTIVATOR
CHEMBL1201513,CHEMBL1950,ACTIVATOR
