"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-187687","Signalling to ERKs","2/10","34/11146",0.0588235294117647,65.5647058823529,11.298321909724,0.000400269814280133,0.00288194266281696,0.000876380224950185,"KRAS/BRAF",2
"R-HSA-5673000","RAF activation","2/10","36/11146",0.0555555555555556,61.9222222222222,10.9709789715704,0.00044907061605043,0.00310895041881067,0.000945411823264064,"KRAS/BRAF",2
"R-HSA-6802948","Signaling by high-kinase activity BRAF mutants","2/10","36/11146",0.0555555555555556,61.9222222222222,10.9709789715704,0.00044907061605043,0.00310895041881067,0.000945411823264064,"KRAS/BRAF",2
"R-HSA-5655302","Signaling by FGFR1 in disease","2/10","38/11146",0.0526315789473684,58.6631578947368,10.6695894975571,0.000500626136881167,0.00333750757920778,0.00101491458549008,"KRAS/PIK3CA",2
"R-HSA-9607240","FLT3 Signaling","2/10","38/11146",0.0526315789473684,58.6631578947368,10.6695894975571,0.000500626136881167,0.00333750757920778,0.00101491458549008,"KRAS/PIK3CA",2
"R-HSA-5689896","Ovarian tumor domain proteases","2/10","39/11146",0.0512820512820513,57.1589743589744,10.5275790329683,0.000527434401734838,0.00345229790226439,0.00104982158431432,"PTEN/TP53",2
"R-HSA-5674135","MAP2K and MAPK activation","2/10","40/11146",0.05,55.73,10.3908729454625,0.000554928330013413,0.00356739640722909,0.00108482229927434,"KRAS/BRAF",2
"R-HSA-9824585","Regulation of MITF-M-dependent genes involved in pigmentation","2/10","42/11146",0.0476190476190476,53.0761904761905,10.1321019429742,0.000611969163969839,0.00378598464940476,0.00115129357759677,"ARID1A/SMARCA4",2
"R-HSA-1433557","Signaling by SCF-KIT","2/10","43/11146",0.0465116279069767,51.8418604651163,10.009466203742,0.000641514065593584,0.00378598464940476,0.00115129357759677,"KRAS/PIK3CA",2
"R-HSA-5655253","Signaling by FGFR2 in disease","2/10","43/11146",0.0465116279069767,51.8418604651163,10.009466203742,0.000641514065593584,0.00378598464940476,0.00115129357759677,"KRAS/PIK3CA",2
"R-HSA-5675221","Negative regulation of MAPK pathway","2/10","43/11146",0.0465116279069767,51.8418604651163,10.009466203742,0.000641514065593584,0.00378598464940476,0.00115129357759677,"KRAS/BRAF",2
"R-HSA-9656223","Signaling by RAF1 mutants","2/10","43/11146",0.0465116279069767,51.8418604651163,10.009466203742,0.000641514065593584,0.00378598464940476,0.00115129357759677,"KRAS/BRAF",2
"R-HSA-2172127","DAP12 interactions","2/10","45/11146",0.0444444444444444,49.5377777777778,9.77643506028232,0.000702647835140483,0.00407989065565442,0.00124066850347386,"KRAS/PIK3CA",2
"R-HSA-9839373","Signaling by TGFBR3","2/10","46/11146",0.0434782608695652,48.4608695652174,9.66559386444276,0.000734234704721526,0.00411850871747724,0.0012524120076539,"ACVR2A/EP300",2
"R-HSA-6802946","Signaling by moderate kinase activity BRAF mutants","2/10","47/11146",0.0425531914893617,47.4297872340425,9.55826621077117,0.000766500233530486,0.00411850871747724,0.0012524120076539,"KRAS/BRAF",2
"R-HSA-6802949","Signaling by RAS mutants","2/10","47/11146",0.0425531914893617,47.4297872340425,9.55826621077117,0.000766500233530486,0.00411850871747724,0.0012524120076539,"KRAS/BRAF",2
"R-HSA-6802955","Paradoxical activation of RAF signaling by kinase inactive BRAF","2/10","47/11146",0.0425531914893617,47.4297872340425,9.55826621077117,0.000766500233530486,0.00411850871747724,0.0012524120076539,"KRAS/BRAF",2
"R-HSA-9649948","Signaling downstream of RAS mutants","2/10","47/11146",0.0425531914893617,47.4297872340425,9.55826621077117,0.000766500233530486,0.00411850871747724,0.0012524120076539,"KRAS/BRAF",2
"R-HSA-112399","IRS-mediated signalling","2/10","48/11146",0.0416666666666667,46.4416666666667,9.45426857213824,0.000799443424771664,0.00417100917272172,0.00126837705837152,"KRAS/PIK3CA",2
"R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","2/10","48/11146",0.0416666666666667,46.4416666666667,9.45426857213824,0.000799443424771664,0.00417100917272172,0.00126837705837152,"TP53/EP300",2
"R-HSA-8939211","ESR-mediated signaling","3/10","222/11146",0.0135135135135135,15.0621621621622,6.34180915493723,0.000843512416334252,0.0043380638554333,0.00131917731276334,"KRAS/EP300/PIK3CA",3
"R-HSA-1227986","Signaling by ERBB2","2/10","50/11146",0.04,44.584,9.25559386000246,0.000867358812111727,0.00439787566704538,0.00133736569992023,"KRAS/PIK3CA",2
"R-HSA-2428928","IRS-related events triggered by IGF1R","2/10","52/11146",0.0384615384615385,42.8692307692308,9.06834424990721,0.000937972911341919,0.00466743591790166,0.00141933723819232,"KRAS/PIK3CA",2
"R-HSA-1660499","Synthesis of PIPs at the plasma membrane","2/10","53/11146",0.0377358490566038,42.0603773584906,8.97866545275788,0.000974289495996438,0.00466743591790166,0.00141933723819232,"PTEN/PIK3CA",2
"R-HSA-177929","Signaling by EGFR","2/10","53/11146",0.0377358490566038,42.0603773584906,8.97866545275788,0.000974289495996438,0.00466743591790166,0.00141933723819232,"KRAS/PIK3CA",2
"R-HSA-2428924","IGF1R signaling cascade","2/10","53/11146",0.0377358490566038,42.0603773584906,8.97866545275788,0.000974289495996438,0.00466743591790166,0.00141933723819232,"KRAS/PIK3CA",2
"R-HSA-8878171","Transcriptional regulation by RUNX1","3/10","236/11146",0.0127118644067797,14.1686440677966,6.12717254979454,0.001007460839781,0.00466743591790166,0.00141933723819232,"ARID1A/EP300/SMARCA4",3
"R-HSA-2404192","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)","2/10","54/11146",0.037037037037037,41.2814814814815,8.89145448085243,0.00101127778221203,0.00466743591790166,0.00141933723819232,"KRAS/PIK3CA",2
"R-HSA-74751","Insulin receptor signalling cascade","2/10","54/11146",0.037037037037037,41.2814814814815,8.89145448085243,0.00101127778221203,0.00466743591790166,0.00141933723819232,"KRAS/PIK3CA",2
"R-HSA-1236394","Signaling by ERBB4","2/10","58/11146",0.0344827586206897,38.4344827586207,8.56514363142687,0.00116592815348764,0.00524667669069438,0.00159548063108835,"KRAS/PIK3CA",2
"R-HSA-186797","Signaling by PDGF","2/10","58/11146",0.0344827586206897,38.4344827586207,8.56514363142687,0.00116592815348764,0.00524667669069438,0.00159548063108835,"KRAS/PIK3CA",2
"R-HSA-212165","Epigenetic regulation of gene expression","3/10","254/11146",0.0118110236220472,13.1645669291339,5.87672163050609,0.00124642967828753,0.00553968745905569,0.00168458332088243,"ARID1A/EP300/SMARCA4",3
"R-HSA-1226099","Signaling by FGFR in disease","2/10","63/11146",0.0317460317460317,35.384126984127,8.20115529055177,0.00137423586196302,0.00603323061349618,0.00183466661930878,"KRAS/PIK3CA",2
"R-HSA-3247509","Chromatin modifying enzymes","3/10","270/11146",0.0111111111111111,12.3844444444444,5.67459080497605,0.00148681001087495,0.00637204290374979,0.00193769725728064,"ARID1A/EP300/SMARCA4",3
"R-HSA-4839726","Chromatin organization","3/10","270/11146",0.0111111111111111,12.3844444444444,5.67459080497605,0.00148681001087495,0.00637204290374979,0.00193769725728064,"ARID1A/EP300/SMARCA4",3
"R-HSA-1257604","PIP3 activates AKT signaling","3/10","273/11146",0.010989010989011,12.2483516483516,5.63859549045303,0.00153491713080486,0.00650009765054433,0.00197663788203687,"PTEN/TP53/PIK3CA",3
"R-HSA-6802952","Signaling by BRAF and RAF1 fusions","2/10","67/11146",0.0298507462686567,33.2716417910448,7.93932546422781,0.00155280110540781,0.00650009765054433,0.00197663788203687,"KRAS/BRAF",2
"R-HSA-5658442","Regulation of RAS by GAPs","2/10","68/11146",0.0294117647058824,32.7823529411765,7.87744260124609,0.00159908967450369,0.00661692279104973,0.00201216365575781,"NF1/KRAS",2
"R-HSA-5688426","Deubiquitination","3/10","297/11146",0.0101010101010101,11.2585858585859,5.36965388396618,0.00195563271018941,0.00798706056348833,0.00242881373860464,"PTEN/TP53/EP300",3
"R-HSA-9006931","Signaling by Nuclear Receptors","3/10","298/11146",0.0100671140939597,11.2208053691275,5.35912438748836,0.00197457886152906,0.00798706056348833,0.00242881373860464,"KRAS/EP300/PIK3CA",3
"R-HSA-9009391","Extra-nuclear estrogen signaling","2/10","77/11146",0.025974025974026,28.9506493506494,7.37494007866831,0.00204513251696885,0.0081805300678754,0.00248764657034807,"KRAS/PIK3CA",2
