"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014013","regulation of gliogenesis","3/10","112/18986",0.0267857142857143,50.8553571428571,12.147637751937,2.32687265453242e-05,0.000662101037153315,0.000201513851899697,"NF1/TP53/KRAS",3
"GO:0043201","response to L-leucine","2/10","15/18986",0.133333333333333,253.146666666667,22.4262528110316,2.61216939363242e-05,0.00072365948559208,0.000220249481910487,"EP300/PIK3CA",2
"GO:1901990","regulation of mitotic cell cycle phase transition","4/10","368/18986",0.0108695652173913,20.6369565217391,8.73241847502981,2.65881280648847e-05,0.00072365948559208,0.000220249481910487,"PTEN/ARID1A/TP53/SMARCA4",4
"GO:0002696","positive regulation of leukocyte activation","4/10","371/18986",0.0107816711590297,20.4700808625337,8.69413049858499,2.74483479213872e-05,0.000731177268033548,0.000222537557615726,"ARID1A/EP300/PIK3CA/SMARCA4",4
"GO:0007265","Ras protein signal transduction","3/10","121/18986",0.0247933884297521,47.0727272727273,11.6710832349372,2.93270569156012e-05,0.000752653723485685,0.000229074027158078,"NF1/TP53/KRAS",3
"GO:0031330","negative regulation of cellular catabolic process","3/10","122/18986",0.0245901639344262,46.6868852459016,11.6213755788691,3.00580560497478e-05,0.000752653723485685,0.000229074027158078,"TP53/EP300/PIK3CA",3
"GO:0045582","positive regulation of T cell differentiation","3/10","122/18986",0.0245901639344262,46.6868852459016,11.6213755788691,3.00580560497478e-05,0.000752653723485685,0.000229074027158078,"ARID1A/EP300/SMARCA4",3
"GO:0050867","positive regulation of cell activation","4/10","391/18986",0.010230179028133,19.4230179028133,8.44994780581623,3.37182204853705e-05,0.000804518779671798,0.000244859423441391,"ARID1A/EP300/PIK3CA/SMARCA4",4
"GO:0060253","negative regulation of glial cell proliferation","2/10","17/18986",0.117647058823529,223.364705882353,21.0557668832339,3.38148042243872e-05,0.000804518779671798,0.000244859423441391,"NF1/TP53",2
"GO:1903037","regulation of leukocyte cell-cell adhesion","4/10","392/18986",0.0102040816326531,19.3734693877551,8.43821827380265,3.40571048902598e-05,0.000804518779671798,0.000244859423441391,"ARID1A/EP300/PIK3CA/SMARCA4",4
"GO:0043923","positive regulation by host of viral transcription","2/10","18/18986",0.111111111111111,210.955555555556,20.4576534664845,3.80309666977168e-05,0.000881755005658174,0.000268366665586228,"EP300/SMARCA4",2
"GO:0021782","glial cell development","3/10","136/18986",0.0220588235294118,41.8808823529412,10.9834051175523,4.15838946897678e-05,0.000946600657301624,0.00028810277277887,"PTEN/NF1/KRAS",3
"GO:0045621","positive regulation of lymphocyte differentiation","3/10","137/18986",0.0218978102189781,41.5751824817518,10.9415682312077,4.25030824336762e-05,0.000950247485838617,0.000289212703778022,"ARID1A/EP300/SMARCA4",3
"GO:0050768","negative regulation of neurogenesis","3/10","138/18986",0.0217391304347826,41.2739130434783,10.9001807494398,4.34355413555519e-05,0.000954057855739491,0.00029037240943139,"PTEN/NF1/TP53",3
"GO:0007159","leukocyte cell-cell adhesion","4/10","430/18986",0.00930232558139535,17.6613953488372,8.02243820292738,4.88987132814551e-05,0.0010532022051467,0.000320547501482349,"ARID1A/EP300/PIK3CA/SMARCA4",4
"GO:0043467","regulation of generation of precursor metabolites and energy","3/10","146/18986",0.0205479452054795,39.0123287671233,10.5843311812337,5.13837590522783e-05,0.0010532022051467,0.000320547501482349,"TP53/EP300/PIK3CA",3
"GO:0051961","negative regulation of nervous system development","3/10","146/18986",0.0205479452054795,39.0123287671233,10.5843311812337,5.13837590522783e-05,0.0010532022051467,0.000320547501482349,"PTEN/NF1/TP53",3
"GO:0006337","nucleosome disassembly","2/10","21/18986",0.0952380952380952,180.819047619048,18.92656854343,5.21553807660508e-05,0.0010532022051467,0.000320547501482349,"ARID1A/SMARCA4",2
"GO:2000269","regulation of fibroblast apoptotic process","2/10","21/18986",0.0952380952380952,180.819047619048,18.92656854343,5.21553807660508e-05,0.0010532022051467,0.000320547501482349,"TP53/PIK3CA",2
"GO:0001934","positive regulation of protein phosphorylation","4/10","455/18986",0.00879120879120879,16.690989010989,7.77695441719331,6.0956171108594e-05,0.00121138295599936,0.000368690625585815,"TP53/ACVR2A/KRAS/BRAF",4
"GO:0032986","protein-DNA complex disassembly","2/10","23/18986",0.0869565217391304,165.095652173913,18.0763372207305,6.27995124394268e-05,0.00122851546209629,0.000373904991826851,"ARID1A/SMARCA4",2
"GO:0035264","multicellular organism growth","3/10","158/18986",0.0189873417721519,36.0493670886076,10.1556936922756,6.50095694527777e-05,0.00125218432238273,0.000381108731043005,"TP53/EP300/PIK3CA",3
"GO:0007612","learning","3/10","159/18986",0.0188679245283019,35.822641509434,10.1221478753473,6.62413614526963e-05,0.00125657855361781,0.00038244613789276,"NF1/KRAS/BRAF",3
"GO:0044772","mitotic cell cycle phase transition","4/10","467/18986",0.00856531049250535,16.2620985010707,7.66596604836529,6.74604605309833e-05,0.00126060442663867,0.000383671433027745,"PTEN/ARID1A/TP53/SMARCA4",4
"GO:0048169","regulation of long-term neuronal synaptic plasticity","2/10","25/18986",0.08,151.888,17.329939724105,7.44239864079567e-05,0.00133177802554305,0.000405333483476194,"NF1/KRAS",2
"GO:0042327","positive regulation of phosphorylation","4/10","479/18986",0.00835073068893528,15.8546972860125,7.55903776618632,7.44604327380302e-05,0.00133177802554305,0.000405333483476194,"TP53/ACVR2A/KRAS/BRAF",4
"GO:1901987","regulation of cell cycle phase transition","4/10","479/18986",0.00835073068893528,15.8546972860125,7.55903776618632,7.44604327380302e-05,0.00133177802554305,0.000405333483476194,"PTEN/ARID1A/TP53/SMARCA4",4
"GO:0006606","protein import into nucleus","3/10","167/18986",0.0179640718562874,34.1065868263473,9.86455135634578,7.66512534400719e-05,0.00135165308883056,0.00041138256108682,"NF1/TP53/EP300",3
"GO:2000178","negative regulation of neural precursor cell proliferation","2/10","26/18986",0.0769230769230769,146.046153846154,16.9893471125681,8.06033320958253e-05,0.00138603868521453,0.000421847993986597,"NF1/TP53",2
"GO:0043524","negative regulation of neuron apoptotic process","3/10","170/18986",0.0176470588235294,33.5047058823529,9.77259754622037,8.08153546490898e-05,0.00138603868521453,0.000421847993986597,"KRAS/BRAF/PIK3CA",3
"GO:0051170","import into nucleus","3/10","172/18986",0.0174418604651163,33.1151162790698,9.71261373200582,8.36722122816636e-05,0.00141564337536004,0.000430858333512976,"NF1/TP53/EP300",3
"GO:0048660","regulation of smooth muscle cell proliferation","3/10","174/18986",0.0172413793103448,32.7344827586207,9.65364953358976,8.65945097696959e-05,0.00143365762209866,0.000436341062047851,"PTEN/NF1/PIK3CA",3
"GO:0044346","fibroblast apoptotic process","2/10","27/18986",0.0740740740740741,140.637037037037,16.6677799655287,8.7027139999599e-05,0.00143365762209866,0.000436341062047851,"TP53/PIK3CA",2
"GO:0007519","skeletal muscle tissue development","3/10","178/18986",0.0168539325842697,31.9988764044944,9.53866530731806,9.26381844823828e-05,0.00144822708175259,0.00044077535193748,"NF1/KRAS/EP300",3
"GO:0048659","smooth muscle cell proliferation","3/10","178/18986",0.0168539325842697,31.9988764044944,9.53866530731806,9.26381844823828e-05,0.00144822708175259,0.00044077535193748,"PTEN/NF1/PIK3CA",3
"GO:0035020","regulation of Rac protein signal transduction","2/10","28/18986",0.0714285714285714,135.614285714286,16.3635252971064,9.36952025734505e-05,0.00144822708175259,0.00044077535193748,"NF1/KRAS",2
"GO:2000647","negative regulation of stem cell proliferation","2/10","28/18986",0.0714285714285714,135.614285714286,16.3635252971064,9.36952025734505e-05,0.00144822708175259,0.00044077535193748,"NF1/TP53",2
"GO:2000819","regulation of nucleotide-excision repair","2/10","28/18986",0.0714285714285714,135.614285714286,16.3635252971064,9.36952025734505e-05,0.00144822708175259,0.00044077535193748,"ARID1A/SMARCA4",2
"GO:0060765","regulation of androgen receptor signaling pathway","2/10","29/18986",0.0689655172413793,130.937931034483,16.0750786380868,0.000100607312386733,0.00153610189156329,0.000467520501720121,"EP300/SMARCA4",2
"GO:0019827","stem cell population maintenance","3/10","186/18986",0.0161290322580645,30.6225806451613,9.31973154886822,0.000105541080795445,0.00159201726693852,0.000484538633455309,"ARID1A/BRAF/SMARCA4",3
"GO:2000108","positive regulation of leukocyte apoptotic process","2/10","30/18986",0.0666666666666667,126.573333333333,15.8011124927191,0.00010776326212393,0.00160618576403762,0.000488850888331611,"NF1/TP53",2
"GO:0098727","maintenance of cell number","3/10","190/18986",0.0157894736842105,29.9778947368421,9.21539335666477,0.000112411230000845,0.00165575129365951,0.000503936411892334,"ARID1A/BRAF/SMARCA4",3
"GO:0060538","skeletal muscle organ development","3/10","192/18986",0.015625,29.665625,9.16442841416833,0.000115953357234556,0.00168806515415889,0.00051377130133304,"NF1/KRAS/EP300",3
"GO:1902107","positive regulation of leukocyte differentiation","3/10","195/18986",0.0153846153846154,29.2092307692308,9.0894282956474,0.000121402264386692,0.00172722312513794,0.000525689230956729,"ARID1A/EP300/SMARCA4",3
"GO:1903708","positive regulation of hemopoiesis","3/10","195/18986",0.0153846153846154,29.2092307692308,9.0894282956474,0.000121402264386692,0.00172722312513794,0.000525689230956729,"ARID1A/EP300/SMARCA4",3
"GO:0006006","glucose metabolic process","3/10","197/18986",0.0152284263959391,28.9126903553299,9.04036452870382,0.000125126328836048,0.00176020408654755,0.000535727155986392,"TP53/EP300/PIK3CA",3
"GO:0007623","circadian rhythm","3/10","206/18986",0.0145631067961165,27.6495145631068,8.82832034504987,0.000142809421299872,0.00198157084754301,0.000603101266866126,"PTEN/TP53/EP300",3
"GO:0051091","positive regulation of DNA-binding transcription factor activity","3/10","208/18986",0.0144230769230769,27.3836538461538,8.78304090541874,0.000146948482704845,0.00198157084754301,0.000603101266866126,"PTEN/EP300/SMARCA4",3
"GO:0043369","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","2/10","35/18986",0.0571428571428571,108.491428571429,14.6114984389816,0.000147193361678514,0.00198157084754301,0.000603101266866126,"EP300/BRAF",2
"GO:0048147","negative regulation of fibroblast proliferation","2/10","35/18986",0.0571428571428571,108.491428571429,14.6114984389816,0.000147193361678514,0.00198157084754301,0.000603101266866126,"NF1/TP53",2
"GO:0016242","negative regulation of macroautophagy","2/10","37/18986",0.0540540540540541,102.627027027027,14.2043020889438,0.000164665037805355,0.00217011186665584,0.000660484694576604,"TP53/PIK3CA",2
"GO:0032228","regulation of synaptic transmission, GABAergic","2/10","37/18986",0.0540540540540541,102.627027027027,14.2043020889438,0.000164665037805355,0.00217011186665584,0.000660484694576604,"NF1/KRAS",2
"GO:0009952","anterior/posterior pattern specification","3/10","220/18986",0.0136363636363636,25.89,8.52419440759799,0.000173435832064535,0.00219750353771009,0.000668821490374184,"TP53/ACVR2A/EP300",3
"GO:0048167","regulation of synaptic plasticity","3/10","220/18986",0.0136363636363636,25.89,8.52419440759799,0.000173435832064535,0.00219750353771009,0.000668821490374184,"NF1/KRAS/BRAF",3
"GO:0048854","brain morphogenesis","2/10","38/18986",0.0526315789473684,99.9263157894737,14.0127995825573,0.00017376425737484,0.00219750353771009,0.000668821490374184,"PTEN/NF1",2
"GO:0070316","regulation of G0 to G1 transition","2/10","38/18986",0.0526315789473684,99.9263157894737,14.0127995825573,0.00017376425737484,0.00219750353771009,0.000668821490374184,"ARID1A/SMARCA4",2
"GO:0010810","regulation of cell-substrate adhesion","3/10","223/18986",0.0134529147982063,25.5417040358744,8.4627005057917,0.000180510895306477,0.00225999640923709,0.000687841516852049,"PTEN/NF1/BRAF",3
"GO:0060323","head morphogenesis","2/10","39/18986",0.0512820512820513,97.3641025641026,13.8286671043364,0.000183105456201429,0.00226978248677415,0.000690819959821962,"EP300/BRAF",2
"GO:0001953","negative regulation of cell-matrix adhesion","2/10","40/18986",0.05,94.93,13.6514416273144,0.000192688428118235,0.00231967223080799,0.000706004159704465,"PTEN/NF1",2
"GO:0009303","rRNA transcription","2/10","40/18986",0.05,94.93,13.6514416273144,0.000192688428118235,0.00231967223080799,0.000706004159704465,"TP53/SMARCA4",2
"GO:0045023","G0 to G1 transition","2/10","40/18986",0.05,94.93,13.6514416273144,0.000192688428118235,0.00231967223080799,0.000706004159704465,"ARID1A/SMARCA4",2
"GO:0045926","negative regulation of growth","3/10","232/18986",0.0129310344827586,24.5508620689655,8.28527275985808,0.000202858994502622,0.00241885201064079,0.00073619003518746,"PTEN/TP53/SMARCA4",3
"GO:0050821","protein stabilization","3/10","236/18986",0.0127118644067797,24.1347457627119,8.20962011801909,0.000213343333526357,0.00251986654316037,0.000766934327075881,"PTEN/TP53/EP300",3
"GO:0019318","hexose metabolic process","3/10","238/18986",0.0126050420168067,23.9319327731092,8.17249438627684,0.000218715260585637,0.00255917295563755,0.000778897435632077,"TP53/EP300/PIK3CA",3
"GO:0014002","astrocyte development","2/10","44/18986",0.0454545454545455,86.3,13.0036543849744,0.000233433927359762,0.00270610441717057,0.000823616780743019,"NF1/KRAS",2
